iter	Passed	Remaining
0	23	23895
1	39	19863
2	54	18254
3	70	17585
4	88	17597
5	102	17025
6	117	16657
7	135	16800
8	153	16930
9	170	16847
10	184	16569
11	199	16421
12	216	16451
13	232	16362
14	249	16404
15	265	16328
16	281	16286
17	298	16273
18	314	16253
19	329	16167
20	346	16165
21	362	16135
22	380	16149
23	396	16142
24	413	16144
25	429	16097
26	445	16065
27	464	16110
28	480	16105
29	499	16135
30	516	16130
31	534	16163
32	550	16144
33	576	16367
34	595	16408
35	614	16453
36	630	16416
37	646	16375
38	663	16351
39	681	16348
40	695	16276
41	713	16276
42	732	16298
43	750	16312
44	768	16311
45	783	16247
46	800	16226
47	816	16198
48	833	16172
49	850	16164
50	871	16217
51	889	16223
52	906	16193
53	923	16173
54	938	16117
55	955	16114
56	972	16085
57	988	16057
58	1006	16047
59	1027	16090
60	1043	16066
61	1060	16047
62	1077	16024
63	1095	16022
64	1114	16033
65	1131	16019
66	1147	15982
67	1165	15970
68	1180	15928
69	1197	15905
70	1212	15862
71	1229	15848
72	1247	15837
73	1264	15825
74	1283	15825
75	1302	15840
76	1320	15833
77	1338	15818
78	1355	15799
79	1374	15801
80	1390	15780
81	1407	15761
82	1423	15725
83	1442	15733
84	1461	15729
85	1479	15722
86	1493	15674
87	1512	15671
88	1530	15667
89	1548	15654
90	1562	15609
91	1581	15603
92	1595	15555
93	1612	15540
94	1628	15509
95	1643	15480
96	1658	15439
97	1675	15417
98	1691	15394
99	1713	15420
100	1737	15466
101	1757	15469
102	1771	15425
103	1786	15392
104	1800	15344
105	1815	15314
106	1831	15282
107	1849	15273
108	1871	15294
109	1887	15270
110	1905	15262
111	1953	15485
112	1974	15497
113	1990	15471
114	2006	15442
115	2023	15419
116	2039	15392
117	2054	15357
118	2069	15322
119	2086	15300
120	2105	15298
121	2122	15278
122	2138	15245
123	2154	15222
124	2171	15201
125	2189	15184
126	2205	15163
127	2220	15128
128	2236	15098
129	2252	15076
130	2269	15053
131	2286	15033
132	2302	15012
133	2319	14991
134	2334	14957
135	2349	14926
136	2366	14907
137	2382	14884
138	2399	14863
139	2420	14867
140	2438	14855
141	2457	14848
142	2476	14843
143	2496	14837
144	2511	14808
145	2531	14806
146	2548	14791
147	2565	14768
148	2582	14748
149	2601	14740
150	2619	14725
151	2640	14731
152	2656	14705
153	2675	14699
154	2695	14692
155	2719	14711
156	2739	14710
157	2759	14704
158	2777	14691
159	2797	14685
160	2816	14678
161	2837	14677
162	2859	14683
163	2878	14671
164	2896	14657
165	2916	14653
166	2935	14641
167	2955	14635
168	2974	14626
169	2992	14611
170	3010	14594
171	3027	14572
172	3045	14557
173	3065	14550
174	3084	14543
175	3104	14535
176	3115	14488
177	3134	14473
178	3151	14456
179	3168	14433
180	3185	14413
181	3203	14396
182	3221	14383
183	3239	14366
184	3259	14359
185	3277	14344
186	3296	14330
187	3312	14307
188	3329	14287
189	3349	14279
190	3365	14254
191	3384	14242
192	3402	14226
193	3417	14199
194	3433	14173
195	3449	14149
196	3463	14119
197	3480	14097
198	3496	14073
199	3515	14061
200	3534	14048
201	3551	14028
202	3565	14000
203	3585	13990
204	3606	13985
205	3625	13974
206	3642	13954
207	3661	13941
208	3678	13922
209	3696	13907
210	3715	13891
211	3725	13848
212	3745	13837
213	3768	13841
214	3786	13824
215	3804	13809
216	3820	13785
217	3836	13762
218	3856	13753
219	3879	13756
220	3897	13738
221	3914	13719
222	3931	13698
223	3949	13682
224	3966	13661
225	3983	13643
226	4001	13625
227	4020	13611
228	4036	13590
229	4054	13572
230	4070	13551
231	4087	13531
232	4109	13526
233	4126	13509
234	4146	13496
235	4162	13476
236	4179	13456
237	4197	13439
238	4215	13421
239	4233	13405
240	4249	13383
241	4268	13369
242	4285	13349
243	4303	13333
244	4321	13316
245	4337	13294
246	4352	13268
247	4368	13246
248	4388	13235
249	4406	13219
250	4425	13206
251	4447	13200
252	4470	13200
253	4489	13186
254	4513	13186
255	4537	13187
256	4556	13173
257	4578	13167
258	4601	13165
259	4625	13164
260	4648	13161
261	4667	13147
262	4686	13131
263	4702	13111
264	4722	13098
265	4742	13086
266	4764	13080
267	4782	13061
268	4797	13036
269	4811	13008
270	4829	12990
271	4844	12967
272	4863	12950
273	4882	12936
274	4897	12912
275	4914	12890
276	4930	12869
277	4945	12843
278	4960	12819
279	4975	12795
280	4990	12769
281	5008	12751
282	5024	12729
283	5041	12709
284	5057	12687
285	5073	12666
286	5090	12647
287	5113	12641
288	5131	12624
289	5152	12614
290	5172	12602
291	5189	12582
292	5205	12559
293	5223	12544
294	5242	12529
295	5260	12511
296	5278	12495
297	5295	12473
298	5312	12455
299	5329	12435
300	5346	12415
301	5364	12397
302	5379	12375
303	5396	12354
304	5414	12337
305	5430	12316
306	5448	12299
307	5470	12290
308	5488	12274
309	5506	12256
310	5524	12240
311	5543	12225
312	5562	12208
313	5583	12198
314	5600	12178
315	5616	12156
316	5632	12135
317	5655	12128
318	5670	12105
319	5686	12084
320	5702	12061
321	5718	12040
322	5733	12016
323	5749	11996
324	5766	11977
325	5782	11956
326	5799	11935
327	5815	11914
328	5831	11894
329	5847	11872
330	5863	11850
331	5882	11835
332	5897	11813
333	5915	11796
334	5931	11774
335	5948	11755
336	5963	11732
337	5979	11711
338	5994	11688
339	6009	11665
340	6026	11646
341	6041	11622
342	6054	11597
343	6069	11575
344	6086	11555
345	6103	11537
346	6118	11514
347	6133	11491
348	6147	11467
349	6161	11442
350	6177	11422
351	6192	11399
352	6205	11374
353	6221	11353
354	6237	11333
355	6253	11311
356	6267	11289
357	6283	11268
358	6298	11246
359	6315	11227
360	6330	11204
361	6342	11179
362	6357	11155
363	6375	11140
364	6391	11119
365	6406	11096
366	6422	11076
367	6437	11055
368	6451	11032
369	6466	11010
370	6483	10991
371	6498	10970
372	6511	10946
373	6525	10923
374	6541	10902
375	6554	10877
376	6569	10856
377	6585	10835
378	6601	10816
379	6617	10797
380	6632	10775
381	6648	10755
382	6663	10735
383	6678	10713
384	6693	10692
385	6707	10670
386	6723	10649
387	6738	10628
388	6753	10607
389	6768	10586
390	6785	10568
391	6801	10549
392	6818	10530
393	6833	10510
394	6849	10490
395	6863	10468
396	6878	10448
397	6892	10426
398	6907	10404
399	6924	10386
400	6941	10368
401	6956	10348
402	6972	10328
403	6988	10309
404	7004	10290
405	7018	10267
406	7032	10245
407	7047	10225
408	7062	10204
409	7078	10186
410	7092	10163
411	7109	10146
412	7124	10126
413	7139	10105
414	7155	10086
415	7168	10063
416	7180	10039
417	7198	10022
418	7217	10007
419	7231	9985
420	7246	9966
421	7260	9944
422	7276	9926
423	7291	9905
424	7304	9883
425	7319	9863
426	7333	9841
427	7349	9821
428	7362	9799
429	7378	9781
430	7394	9762
431	7410	9743
432	7426	9724
433	7443	9707
434	7457	9685
435	7471	9665
436	7487	9646
437	7502	9626
438	7516	9605
439	7530	9583
440	7543	9561
441	7558	9542
442	7574	9524
443	7592	9507
444	7606	9486
445	7619	9464
446	7633	9444
447	7650	9426
448	7666	9407
449	7681	9388
450	7695	9367
451	7710	9348
452	7727	9330
453	7743	9312
454	7757	9292
455	7771	9271
456	7785	9250
457	7799	9230
458	7816	9212
459	7830	9192
460	7843	9171
461	7861	9154
462	7877	9136
463	7893	9118
464	7907	9098
465	7923	9079
466	7939	9061
467	7955	9043
468	7971	9025
469	7985	9004
470	8001	8986
471	8016	8967
472	8031	8948
473	8047	8930
474	8063	8912
